Date,Game,Team,Side,Market,ML,Book,Model_Prob,Market_Prob,Edge_Pct,Model_Line,Market_Line,SP_Score,LU_Score,Park_Factor,Ump_K,Result,F5_Score,Taken,logged_at,Model_Prob_Cal,Edge_Cal,Closing_ML,Closing_Line,CLV_Pct
04/19/2026,Texas Rangers @ Seattle Mariners,Texas Rangers,Texas Rangers Over 1.5,F5 Team Total,110.0,DraftKings,63.1,47.6,15.4,2.1,1.5,65.9,34.6,1.0,0.02,LOSS,0-5,False,unknown,,,,,
04/19/2026,Toronto Blue Jays @ Arizona Diamondbacks,Arizona Diamondbacks,Arizona Diamondbacks Over 1.5,F5 Team Total,-130.0,DraftKings,61.4,56.5,4.8,2.02,1.5,64.2,47.1,1.02,0.014,LOSS,10-1,False,unknown,,,,,
04/19/2026,Toronto Blue Jays @ Arizona Diamondbacks,Toronto Blue Jays,Toronto Blue Jays Over 1.5,F5 Team Total,-140.0,DraftKings,61.4,58.3,3.0,2.02,1.5,77.4,36.2,1.02,0.014,WIN,10-1,False,unknown,,,,,
04/20/2026,Atlanta Braves @ Washington Nationals,Atlanta Braves,Away,F5 ML,-135.0,draftkings,71.8,57.4,14.3,,,63.0,49.8,0.99,0.019,LOSS,2-3,False,unknown,,,,,
04/20/2026,Atlanta Braves @ Washington Nationals,Atlanta Braves,Away,F5 Spread,105.0,betmgm,75.7,48.8,26.9,-0.5,-0.5,50.5,49.8,0.99,0.019,LOSS,2-3,False,unknown,,,,,
04/20/2026,St. Louis Cardinals @ Miami Marlins,Miami Marlins,Home,F5 Spread,-102.0,betmgm,75.0,50.5,24.5,-0.5,0.5,46.9,48.6,0.97,-0.003,WIN,1-2,False,unknown,,,,,
04/21/2026,Los Angeles Dodgers @ San Francisco Giants,Los Angeles Dodgers,Away,F5 ML,-188.0,draftkings,79.0,65.3,13.8,,,56.2,52.7,0.96,0.052,LOSS,1-3,False,unknown,,,,,
04/21/2026,San Diego Padres @ Colorado Rockies,Under,Under,F5 Total,-120.0,fanduel,74.8,54.5,20.3,4.96,6.5,48.7,35.4,1.28,0.049,WIN,0-0,False,unknown,,,,,
04/25/2026,Athletics @ Texas Rangers,Athletics,Athletics Over 1.5,F5 Team Total,-125.0,DraftKings,66.1,55.6,10.6,2.25,1.5,50.0,,1.0,0.0,WIN,3-2,False,unknown,,,,,
04/25/2026,Athletics @ Texas Rangers,Texas Rangers,Home -0.5,F5 Spread,100.0,FanDuel,61.3,50.0,11.3,-0.25,-0.5,50.0,,1.0,0.0,LOSS,3-2,False,unknown,,,,,
04/25/2026,Boston Red Sox @ Baltimore Orioles,Baltimore Orioles,Baltimore Orioles Over 1.5,F5 Team Total,-140.0,DraftKings,60.9,58.3,2.6,2.0,1.5,50.0,41.7,0.98,-0.006,LOSS,7-0,False,unknown,,,,,
04/25/2026,Chicago Cubs @ Los Angeles Dodgers,Los Angeles Dodgers,Home -0.5,F5 Spread,100.0,FanDuel,64.8,50.0,14.7,-0.48,-0.5,56.8,50.7,0.99,0.046,WIN,4-8,False,unknown,,,,,
04/25/2026,Chicago Cubs @ Los Angeles Dodgers,Chicago Cubs/Los Angeles Dodgers,Under 5.2,F5 Total,-102.0,BetMGM,61.3,50.5,10.8,4.54,5.2,49.1,42.75,0.99,0.046,LOSS,4-8,False,unknown,,,,,
04/25/2026,Chicago Cubs @ Los Angeles Dodgers,Los Angeles Dodgers,Home,F5 ML,-135.0,FanDuel,60.7,57.4,3.2,,,56.8,50.7,0.99,0.046,WIN,4-8,False,unknown,,,,,
04/25/2026,Cleveland Guardians @ Toronto Blue Jays,Toronto Blue Jays,Toronto Blue Jays Under 2.5,F5 Team Total,-160.0,DraftKings,66.1,61.5,4.6,1.75,2.5,54.5,29.4,0.97,0.004,WIN,1-1,False,unknown,,,,,
04/25/2026,Cleveland Guardians @ Toronto Blue Jays,Cleveland Guardians/Toronto Blue Jays,Under 4.2,F5 Total,-105.0,BetMGM,62.8,51.2,11.6,3.45,4.2,55.0,30.55,0.97,0.004,WIN,1-1,False,unknown,,,,,
04/25/2026,Cleveland Guardians @ Toronto Blue Jays,Toronto Blue Jays,Home -0.5,F5 Spread,100.0,FanDuel,62.4,50.0,12.4,-0.32,-0.5,54.5,29.4,0.97,0.004,WIN,1-1,False,unknown,,,,,
04/25/2026,Cleveland Guardians @ Toronto Blue Jays,Toronto Blue Jays,Home,F5 ML,-145.0,TheScore,60.2,59.2,1.0,,,54.5,29.4,0.97,0.004,PUSH,1-1,False,unknown,,,,,
04/25/2026,Colorado Rockies @ New York Mets,New York Mets,Home,F5 ML,-190.0,BetMGM,74.9,65.5,9.4,,,50.0,63.6,1.0,-0.061,PUSH,0-0,False,unknown,,,,,
04/25/2026,Colorado Rockies @ New York Mets,New York Mets,Home -0.5,F5 Spread,-130.0,FanDuel,71.0,56.5,14.5,-0.94,-0.5,50.0,63.6,1.0,-0.061,WIN,0-0,False,unknown,,,,,
04/25/2026,Detroit Tigers @ Cincinnati Reds,Detroit Tigers,YRFI — Detroit Tigers @ Cincinnati Reds,NRFI/YRFI,-105.0,est.,62.2,51.2,11.0,,,51.25,27.7,1.12,0.031,WIN,2-6,False,unknown,,,,,
